title,year,director,actor1,actor2,genre,rating,country,releasedate
Guns of a Stranger,1973,Robert Hinkle,Marty Robbins,Chill Wills,Action,4.5,USA,1-May-73
Lost Angel,2009,None,Lincoln Potwin,Keri Lurtz,Drama,7.7,USA,14-Nov-09
Interiors,1978,Woody Allen,Diane Keaton,Geraldine Page,Drama,7.5,USA,2-Aug-78
Working Stiffs,2008,Jim Finitsis,Artie Boutin,Matthew Cost,Comedy,7.1,USA,8-Dec-08
Plot 7,2007,None,Aydin Abdollahi,Linden Ashby,Horror,5.2,USA,2007
Bronco Billy,1980,None,Clint Eastwood,Sondra Locke,Action,6.1,USA,11-Jun-80
Lost Prophet,1992,Michael De Avila,James Burton,Zandra Huston,Horror,6.6,USA,8-Jun-92
Truth Be Told,2012,Gregorio Smith,Julianne Fingado,Jannette Anton,Biography,8.3,USA,31-Aug-13
An Evergreen Christmas,2014,Jeremy Culver,Robert Loggia,Naomi Judd,Family,5.9,USA,4-Nov-14
The Prisoner of Zenda,1979,Richard Quine,Peter Sellers,Lynne Frederick,Adventure,5,USA,17-Aug-79
The Venetian Affair,1966,Jerry Thorpe,Robert Vaughn,Elke Sommer,Action,5.3,USA,10-Feb-67
Desperate But Not Serious,2000,Bill Fishman,Christine Taylor,Paget Brewster,Comedy,4.3,USA,31-Oct-00
Outlaw Riders,1971,Tony Huston,Bryan West,Darlene Duralia,Action,6.1,USA,Sep-71
Zarra's Law,2014,Juha Wuolijoki,Kelli Barrett,Brendan Fehr,Crime,4.8,USA,11-Jun-14
Watch Out,2008,Steve Balderson,Matt Riddlehoover,Amy Kelly,Comedy,4.3,USA,27-Sep-08
The Gene Generation,2007,Pearry Reginald Teo,Bai Ling,Alec Newman,Action,4.3,USA,27-Sep-07
The Slime People,1963,None,Robert Hutton,Les Tremayne,Horror,2.5,USA,24-Feb-66
Inspirations,1983,Joe Sherman,Ron Jeremy,Serena,Adult,6.2,USA,29-Oct-83
Rhino!,1964,None,Harry Guardino,Shirley Eaton,Action,5.8,USA,18-Jul-64
The Gentleman,2007,Joe Valenti,Jon Doscher,Rachael Robbins,Comedy,6.7,USA,2007
Bartleby,2001,Jonathan Parker,David Paymer,Crispin Glover,Comedy,6.4,USA,10-Mar-01
Wizards,1977,Ralph Bakshi,Jim Connell,Steve Gravers,Adventure,6.5,USA,9-Feb-77
107 Street,2004,Antonio De La Cruz,Alfonso Madrid Jr.,Jose Candelario,Drama,5.8,USA,27-Jul-04
Mad Dog Coll,1992,Ken Stein,Christopher Bradley,Bruce Nozick,Action,5.4,USA,10-May-92
The Last Place on Earth,2002,James Slocum,Tisha Campbell-Martin,Dana Ashbrook,Comedy,6.3,USA,1-Jan-02
Deadly Expose,2017,Chris Jaymes,Melissa Archer,Brandon Beemer,Thriller,3.5,USA,1-May-17
Love Her Madly,2000,Ray Manzarek,Jennifer Lothrop,Madison Mason,Drama,4.5,USA,NA
Mother's Day,2016,Garry Marshall,Jennifer Aniston,Kate Hudson,Comedy,5.6,USA,29-Apr-16
Play Time,1995,Dale Trevillion,Jennifer Burton,David Elliott,Action,6.3,USA,1-Mar-96
Russ Meyer's Fanny Hill,1964,Albert Zugsmith,Miriam Hopkins,Alexander D'Arcy,Comedy,4.1,USA,10-Mar-65
Vultures,1984,Paul Leder,Meredith MacRae,Carmen Zapata,Horror,2.9,USA,1984
Do Not Disturb,1965,Ralph Levy,Doris Day,Rod Taylor,Comedy,5.9,USA,22-Dec-65
Running Out of Luck,1987,Julien Temple,Mick Jagger,Rae Dawn Chong,Adventure,5,USA,7-Sep-87
The Book of Henry,2017,Colin Trevorrow,Naomi Watts,Jaeden Lieberher,Crime,6.5,USA,23-Jun-17
Cardinal Matter,2016,Madeline Puzzo,Zac Titus,Kelsey Crane,Action,4,USA,8-Jul-16
Elvis & Nixon,2016,Liza Johnson,Michael Shannon,Kevin Spacey,Comedy,6.4,USA,21-Apr-16
To Be King,2011,Steve Rahaman,Nigel Harvey,Frank Merlino,Action,7.8,USA,9-Aug-11
This Is What Democracy Looks Like,2000,Rick Rowley,Michael Franti,Susan Sarandon,Documentary,7.8,USA,13-Oct-00
Automaton Transfusion,2006,Steven C. Miller,Garrett Jones,Juliet Reeves London,Horror,3.8,USA,19-May-08
Ghosting,2016,Kevin Alexander Boon,Michael Mowen,Elizabeth Wyld,Horror,6.4,USA,4-Oct-16
The Lights,2009,John Sjogren,Kerry Wallum,Joe Estevez,Horror,4.8,USA,8-Dec-09
Kevin Hart: Let Me Explain,2013,Tim Story,Will 'Spank' Horton,Joey Wells,Comedy,6.8,USA,3-Jul-13
Fall Time,1995,Paul Warner,Steve Alden,David Arquette,Comedy,5.5,USA,13-May-95
Legal Deceit,1997,Monika Harris,Lela Rochon,Jeffrey Dean Morgan,Thriller,3.8,USA,18-Nov-97
Subprime,2010,None,Tara Alexis,Gary Brown,Comedy,5,USA,17-Sep-10
High School Fantasies,1974,James Bryan,Rene Bond,Larry Barnhouse,Adult,5.6,USA,27-Sep-75
Head Lock,1989,Fred J. Lincoln,Tori Welles,Jamie Gillis,Adult,7.7,USA,1989
Not Welcome,2015,Marc Sloboda,Rebecca Spence,Richard Short,Comedy,5.4,USA,2018
Caged,2006,Joseph Christiana,Elliot V. Kotek,Anthony Cataldo,Drama,2,USA,Aug-06
Blood on the Mountain,1974,Donald W. Thompson,Stracker Edwards,Tim Jones,Adventure,5.9,USA,1974
Defeated,2018,Joe G. LaRue,Sophie Mazzaro,Robert Miano,Drama,9.1,USA,28-Jan-18
A Perfect Ending,2012,Nicole Conn,Barbara Niven,Bryan Mordechai Jackson,Drama,5.8,USA,21-Jun-12
Fortress of Amerikkka,1989,Eric Louzil,Gene LeBrock,Kellee Bradley,Action,3.6,USA,Aug-89
Pandora's Box,2002,Rob Hardy,Michael Jai White,Monica Calhoun,Romance,5,USA,27-Sep-02
Homemakers,2014,Colin Healey,Rachel McKeon,Jack Culbertson,Comedy,7.8,USA,16-Oct-15
Dope Fiend,2017,Ron Elliot,Sasha Allen,Bruce Apar,Crime,6.4,USA,29-Aug-17
Walk on Water,2017,Winston McFarlane,Nadia Brown,Richard Brumfield,Drama,8.5,USA,27-Jan-17
Easy Rider 2: The Ride Home,2012,Dustin Rikert,Chris Engen,Sheree J. Wilson,Adventure,2.9,USA,2015
Think Me Nothing,1975,None,David Jarashow,Ray Kennedy,Comedy,8.9,USA,15-Sep-79
Requiem for a Gunfighter,1965,Spencer Gordon Bennet,Rod Cameron,Stephen McNally,Western,6.1,USA,30-Jun-65
Temptress,1995,Lawrence Lanoff,Kim Delaney,Chris Sarandon,Horror,4.5,USA,4-Apr-97
The Search for Simon,2013,Martin Gooch,Millie Reeves,Sophie Aldred,Comedy,3.9,USA,30-Nov-16
The Oasis,1984,Sparky Greene,Chris Makepeace,Scott Hylands,Drama,6.3,USA,1989
Hidden Truth,2016,Steven R. Monroe,Sarah Lind,Shawn Christian,Thriller,5.5,USA,12-Mar-16
Love,2001,None,Eliana Alexander,Gina Alvarez,Drama,6.8,USA,7-Oct-10
House of the Damned,1996,Scott P. Levy,Alexandra Paul,Greg Evigan,Action,4.4,USA,13-Jul-96
Why Did I Get Married Too?,2010,None,Janet Jackson,Tyler Perry,Comedy,4.5,USA,2-Apr-10
Familiar Spirits,2007,Perry Shumway,Sarah Bell,Shanda Crapo,Horror,5.8,USA,20-Jan-07
Odd Brodsky,2014,None,Tegan Ashton Cohan,Matthew Kevin Anderson,Comedy,7.5,USA,29-Nov-16
The Todd Killings,1971,Barry Shear,Robert F. Lyons,Richard Thomas,Crime,6.2,USA,4-Aug-72
Embryo,1976,Ralph Nelson,Rock Hudson,Barbara Carrera,Horror,5,USA,21-May-76
The Angriest Man in Brooklyn,2014,Phil Alden Robinson,Robin Williams,Mila Kunis,Comedy,5.7,USA,23-May-14
March,2002,None,Sean Oliver,Paul Berman,Drama,5.7,USA,NA
Date Less,2000,Dan Reheuser,Gina Beretta,Sam Bologna,Comedy,6.1,USA,NA
Jazzed Up Hoodlums,2009,Stephen Marsh,Carlos Gallardo,Matthew Ramsey,Drama,8.3,USA,NA
The Killer Robots! Crash and Burn,2016,Sam Gaffin,Jacob Dupree,Michael Flores,Action,3.6,USA,15-Jul-16
Dynamite Brothers,1974,Al Adamson,Timothy Brown,Alan Tang,Action,2.2,USA,May-74
Eyes of the Serpent,1994,None,Chuck Mavich,David Michael Sterling,Fantasy,4.4,USA,NA
Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,Johnny Depp,Helena Bonham Carter,Drama,7.4,USA,21-Dec-07
Showdown at Area 51,2007,C. Roma,Jason London,Gigi Edgley,Action,3.4,USA,1-Jul-09
My Favorite Martian,1999,Donald Petrie,Christopher Lloyd,Jeff Daniels,Comedy,5,USA,12-Feb-99
The Restless Ones,1965,Dick Ross,Georgia Lee,Robert Sampson,Drama,6.1,USA,2-Dec-65
In the Key of Eli,2011,None,Caroline Rich,Ron Recasner,Comedy,8.2,USA,Aug-11
"Shame, Shame, Shame",1999,Zalman King,Costas Mandylor,Heidi Schanz,Drama,3.7,USA,7-Oct-99
Spitfire,1985,Cecil Howard,Tigr,Samantha Fox,Adult,6.4,USA,23-Jul-88
Harry's War,1981,Kieth Merrill,Edward Herrmann,Geraldine Page,Comedy,6.4,USA,Mar-81
Bad Boy Made Good: The Revival of George Antheil's 1924 Ballet MÃ©canique,2003,Ron Frank,Jeffrey Fischer,Charles Amirkhanian,Documentary,7.8,USA,21-Sep-03
Pirates of Tortuga,1961,Robert D. Webb,Ken Scott,LetÃ­cia RomÃ¡n,Adventure,5.2,USA,Oct-61
Suicide Blonde,1999,Eduardo Carrillo,Dale Paris,Angel Boris Reed,Action,5.4,USA,10-Nov-99
Mirrors,1978,Noel Black,Kitty Winn,Peter Donat,Horror,5.1,USA,Feb-78
You Are Here,2004,Erin E. MacMillan,Cory Assink,David Austin,Action,4.9,USA,NA
Kowloon Connection,1975,Bob Chinn,Rita Cous,Ray Wells,Adult,3.8,USA,Sep-75
Spokes,1983,None,Leo Ford,Dick Fisk,Adult,7.2,USA,NA
Epitaph,1987,Joseph Merhi,Natasha Pavlovich,Delores Nascar,Horror,3.8,USA,1987
X-Men Origins: Wolverine,2009,Gavin Hood,Hugh Jackman,Liev Schreiber,Action,6.6,USA,1-May-09
Detention,1998,Andy Anderson,John S. Davies,Marsha Dietlein,Drama,6.6,USA,Mar-98
Thunder Run,1986,Gary Hudson,Forrest Tucker,John Ireland,Action,5.1,USA,30-May-86
Wonderful World,2009,Joshua Goldin,Matthew Broderick,Sanaa Lathan,Drama,6.2,USA,2009
Atlas Shrugged: Part I,2011,Paul Johansson,Taylor Schilling,Grant Bowler,Drama,5.7,USA,15-Apr-11
Home Before the Holiday,2017,Ira Mallory,Brooklyn,Teresa Francis,Adventure,9.1,USA,7-Nov-17
Alma's Rainbow,1994,Ayoka Chenzira,Kim Weston-Moran,Victoria Gabrielle Platt,Comedy,6.8,USA,23-Jun-94
The Reivers,1969,Mark Rydell,Steve McQueen,Sharon Farrell,Comedy,6.8,USA,25-Dec-69
The Dead Ones,2011,Jeremy Kasten,Sarah Rose Harper,Brandon Thane Wilson,Horror,6.8,USA,2011
The Caller,2008,Richard Ledes,Axel Feldmann,GrÃ©gory Ravary Ellis,Crime,5.6,USA,13-Feb-09
The Black Bunch,1973,Henning Schellerup,Gladys Bunker,Betty Barton,Action,5,USA,Feb-73
The Prophet,2014,Mohammed Saeed Harib,Liam Neeson,Salma Hayek,Animation,7.1,USA,7-Aug-15
P.S. I Love You,2007,Richard LaGravenese,Hilary Swank,Gerard Butler,Drama,7.1,USA,21-Dec-07
American Dream?,2005,Tom Kennedy,Michael Athens,Gabe Awan,Adventure,6.3,USA,1-Oct-05
The Dalhia Knights,2015,Milos Twilight,Priscilla Inga Taylor,Jack Huang,Action,4.5,USA,NA
With Honors,1994,Alek Keshishian,Joe Pesci,Brendan Fraser,Comedy,6.7,USA,29-Apr-94
Gospel Road: A Story of Jesus,1973,None,Robert Elfstrom,June Carter Cash,Drama,6,USA,31-Mar-73
Naomi's Web,2000,Don Abernathy,Keana Jackson,Latamra Smith,Thriller,6.4,USA,NA
Mary! Mary!,1977,Bernard Morris,Constance Money,John Leslie,Adult,6.3,USA,29-Jun-77
Somewhere West,2011,David Marek,Barrett Ogden,Judson Webb,Drama,7.8,USA,22-Oct-11
National Security,2003,Dennis Dugan,Martin Lawrence,Steve Zahn,Action,5.6,USA,17-Jan-03
Eddie Murphy: Raw,1987,Robert Townsend,Tatyana Ali,Billie Allen,Comedy,7.6,USA,18-Dec-87
Undying Dreams,2014,Ash Kohan,Ash Kohan,Marwan Naji,Action,4.4,USA,1-Apr-14
Song of the Loon,1970,Andrew Herbert,John Iverson,Morgan Royce,Drama,6.2,USA,11-Mar-70
Walk Don't Run,1966,Charles Walters,Cary Grant,Samantha Eggar,Comedy,6.7,USA,29-Jun-66
Paintball the Movie: Court Jesters,2005,Eric Kepner,Chris Tschupp,Jesse Hlubik,Action,6.9,USA,16-Jun-05
Atrophy,2003,Wash Rogers,Justin Rubenstein,Sarah Hinkle,Drama,6.6,USA,16-Sep-03
Brothers Should Do It,1981,William Higgins,Giorgio Canali,Jimmy Jagger,Adult,7.5,USA,6-Nov-81
Come Under My Spell,1981,Carlos Tobalina,Carol Lougan,Liza Dwyer,Adult,5.7,USA,NA
Cyrus,2010,Mark Vadik,Tiffany Shepis,Max Lesser,Crime,4.7,USA,Aug-10
Videotape,2017,None,Andrew Yorke,Allison Varley,Drama,7.3,USA,14-Jun-17
Super Shark,2011,Fred Olen Ray,Tim Abell,Catherine Annette,Action,2.5,USA,8-Dec-11
Sharkula: Diarrhea of a Madman,2010,Joshua Conro,Andrew Barber,Victor Grigas,Biography,9,USA,Aug-10
Big Wednesday,1978,John Milius,Jan-Michael Vincent,William Katt,Drama,7.3,USA,3-Oct-78
The Spade County Massacre,2011,Dean Chapman,Mark Mundt,Rex Steven Sikes,Horror,5.4,USA,NA
The Girl with No Number,2011,Michael Gleissner,Bebe Pham,Jay Laisne,Thriller,5,USA,Jan-12
Space Rage,1985,Conrad E. Palmisano,Richard Farnsworth,Michael ParÃ©,Action,3.7,USA,25-Dec-85
High Point,2001,Tony Urban,Chip Hajel,Alex Clark,Action,5.9,USA,5-Jan-01
Penitentiary Chances,1998,Jose Quiroz,MonGo Nikol,Peter Scott Palmer,Crime,5.4,USA,5-Jun-98
Detention,2010,James D.R. Hickox,David Carradine,Mo McRae,Horror,3,USA,15-Jan-10
Hollow Point,1996,Sidney J. Furie,Thomas Ian Griffith,Tia Carrere,Action,5.8,USA,Jul-96
Joyride,1997,None,Tobey Maguire,Amy Hathaway,Comedy,5.1,USA,18-Nov-97
Armstrong,1998,Menahem Golan,Kimberley Kates,Frank Zagarino,Action,4,USA,28-Jul-98
Basic Slaughter,2007,Steve Rudzinski,Zane Crosby,Jessie Deep,Horror,4.8,USA,29-Oct-07
One Way Out,1996,Kevin Lynn,Jack Gwaltney,Jeff Monahan,Crime,5.9,USA,23-Jul-96
The Tattooist,2017,Mat Hames,Griffon Ramsey,Gus Sorola,Documentary,8.8,USA,24-Mar-17
Boomerang,1992,Reginald Hudlin,Eddie Murphy,Robin Givens,Comedy,5.4,USA,1-Jul-92
The Beat,2003,None,Rahman Jamaal,Kazz Wingate IV,Action,6.7,USA,16-Aug-05
Blueprint,2007,Kirk Shannon-Butts,Kisha Asiedu,Wayne Preston Chambers,Drama,6.8,USA,11-Nov-07
The Delta Factor,1970,Tay Garnett,Yvette Mimieux,Christopher George,Adventure,3.9,USA,1-Jan-76
Diving Normal,2013,Kristjan Thor,Susie Abromeit,Philipp Karner,Drama,7.6,USA,9-Apr-13
About Mom and Dad...,2014,Rachel Shepherd,Brent Anderson,Sawyer Bell,Drama,6.8,USA,4-Apr-14
Oh! You Beautiful 'Doll',1973,Walt Davis,Andy Bellamy,Alex Elliot,Comedy,5.3,USA,1973
Last Gasp,1995,Scott McGinnis,Robert Patrick,Joanna Pacula,Horror,4.8,USA,25-Jul-95
Shared Rooms,2016,Rob Williams,Christopher Grant Pearson,Alec Manley Wilson,Comedy,4.8,USA,14-May-16
Stacey's Hot Rod,1983,Jack Genero,Raysheena Mercado,Shaun Michelle,Adult,6.8,USA,NA
"Deathbone, Third Blood Part VII: The Blood of Deathbone",2011,Chris Seaver,Billy Garberina,Meredith Host,Fantasy,6.5,USA,2011
Hearts of Men,2011,Kenneth Castillo,Jose Yenque,Ronnie Alvarez,Action,6.8,USA,NA
People,2016,Shane McGoey,Dino Dos Santos,Rane Jameson,Comedy,7.1,USA,22-Apr-16
Alive,1993,Frank Marshall,Ethan Hawke,Vincent Spano,Adventure,7.1,USA,15-Jan-93
The Night Never Sleeps,2012,Fred Carpenter,Eric Roberts,Armand Assante,Action,7.4,USA,13-Jul-12
Girls Never Call,2005,Nacho Manubens,Keith Myers,Tracy Viera,Comedy,8.1,USA,20-Apr-05
Mr. Jones,2013,Karl Mueller,Jon Foster,Sarah Jones,Drama,4.7,USA,2-May-14
Olive Juice,2001,Ken Hastings,Leighanne Littrell,James Berlau,Comedy,4.6,USA,6-Feb-01
The Boys Next Door,1985,Penelope Spheeris,Maxwell Caulfield,Charlie Sheen,Crime,6.5,USA,Oct-85
Adam & Eve Guide to G-spot Orgasm,1993,Bud Lee,Marc Wallice,Tori Welles,Adult,9,USA,NA
The Secret of Sarah Pennington,2013,Doug McAbee,Stephen Adams,Allen Biffle,Horror,7.2,USA,25-Jan-13
The Challenge,1982,John Frankenheimer,Scott Glenn,ToshirÃ´ Mifune,Action,6.3,USA,23-Jul-82
What If People Died,2012,Dominic Mah,Jae Suh Park,Alexandra Anthony,Comedy,8.6,USA,NA
The Elf,2017,Justin Price,Natassia Halabi,Gabriel Miller,Horror,2.9,USA,7-Nov-17
Death Machines,1976,Paul Kyriazi,Ronald L. Marchini,Michael Chong,Action,3.7,USA,Jun-76
The Good Life,2013,Owen McManus,Robert McGill Jr.,Janell Flugence,Drama,5.9,USA,10-Mar-13
Shut Up and Drive,2015,Melanie Shaw,ZoÃ« Worth,Sarah Sutherland,Adventure,7.1,USA,Apr-15
Satan's Blade,1984,L. Scott Castillo Jr.,Tom Bongiorno,Stephanie Leigh Steel,Horror,4.6,USA,1984
Rat Catching,2014,Robert Manrique,Karl Pidhajny,Jules Sceiro,Horror,5.7,USA,6-Jun-14
Come Back Charleston Blue,1972,Mark Warren,Godfrey Cambridge,Raymond St. Jacques,Action,6.6,USA,21-Apr-73
Army Dog,2016,Ezra Kemp,Casper Van Dien,Grace Van Dien,Action,5.1,USA,12-Jan-16
Jada,2008,Robert A. Johnson,Juan Mabson,Marlo Williams,Drama,6.4,USA,2008
The Burning Plain,2008,Guillermo Arriaga,Charlize Theron,John Corbett,Crime,6.8,USA,5-Nov-09
Red Wing,2013,Will Wallace,Breann Johnson,Glen Powell,Drama,7.1,USA,4-Oct-13
The Final Girls,2015,Todd Strauss-Schulson,Taissa Farmiga,Malin Akerman,Comedy,6.6,USA,5-Nov-15
My Man Is a Loser,2014,Mike Young,John Stamos,Tika Sumpter,Comedy,4.4,USA,25-Jul-14
Once in Paris...,1978,Frank D. Gilroy,Wayne Rogers,Gayle Hunnicutt,Drama,6.2,USA,25-Oct-79
Chalk It Up,2016,Hisonni Johnson,Maddy Curley,John DeLuca,Comedy,4.8,USA,13-Sep-16
Focus,2015,John Requa,Will Smith,Margot Robbie,Comedy,6.6,USA,27-Feb-15
Mad Monster Party?,1967,Jules Bass,Boris Karloff,Allen Swift,Animation,6.7,USA,8-Mar-67
Dead & Nowhere,2008,Russ Barnes,Pat Asanti,Leah Ann Cevoli,Crime,2.2,USA,30-Oct-08
Snow Angels,2007,David Gordon Green,Kate Beckinsale,Sam Rockwell,Drama,6.9,USA,11-Sep-08
The Last Broadcast,1998,None,David Beard,Lance Weiler,Horror,5.4,USA,23-Oct-98
"Life, Love, Soul",2012,Noel Calloway,Chad L. Coleman,Jamie Hector,Drama,5.8,USA,2012
The Nightmare Before Christmas,1993,Henry Selick,Chris Sarandon,Catherine O'Hara,Animation,8,USA,29-Oct-93
Sylvio,2017,Albert Birney,Kentucker Audley,Steve Bauer,Comedy,6.5,USA,12-Oct-17
Ouija: Origin of Evil,2016,None,Elizabeth Reaser,Lulu Wilson,Horror,6.1,USA,21-Oct-16
The Crooked Mind,2016,None,Pete Accetturo,Bianca Alcantara,Action,5.7,USA,30-Sep-16
S. Darko,2009,Chris Fisher,Daveigh Chase,Briana Evigan,Mystery,3.6,USA,21-Aug-09
Girl in the Cadillac,1995,Lucas Platt,Erika Eleniak,William McNamara,Adventure,6.1,USA,24-Oct-95
Backdoor to Hollywood 11,1990,Ron Jeremy,Rachel Ryan,Tom Byron,Adult,6.1,USA,NA
Virginity,2014,Sam Khoze,Michelle Farivar,Jessica Hendrickson,Drama,7.5,USA,NA
Damsels in Distress,2011,Whit Stillman,Greta Gerwig,Adam Brody,Comedy,5.7,USA,26-Apr-12
Faux,2010,Christopher Michael Beer,A.J. Sass,Jemar Rovie-Frenchwood,Drama,8.4,USA,2010
When the Starlight Ends,2016,Adam Sigal,Sam Heughan,Arabella Oz,Comedy,8.6,USA,2016
The Ravager,1970,Charles Nizet,Darlene Dawes,Ann Hollis,Action,5.4,USA,12-Nov-70
The Hills Have Eyes II,2007,Martin Weisz,Daniella Alonso,Jacob Vargas,Horror,5.1,USA,23-Mar-07
Paranormal Activity 2,2010,Tod Williams,Katie Featherston,Micah Sloat,Horror,5.7,USA,22-Oct-10
Time's Up!,2001,Cecilia Barriga,Leonor Benedetto,Santiago Douglas,Drama,6.7,USA,15-Jun-01
Dead Bodies Everywhere,2011,Shea VanLaningham,Rito Balducci,Nathan Bottorff,Horror,7.3,USA,8-Aug-11
Armageddon: The Final Challenge,1994,Michael Garcia,Todd Jensen,Graham Clarke,Sci-Fi,3.7,USA,NA
George's Intervention,2009,J.T. Seaton,Peter Stickles,Michelle Tomlinson,Comedy,5.2,USA,6-Sep-09
Unknown,2006,Simon Brand,Jim Caviezel,Greg Kinnear,Crime,6.5,USA,3-Nov-06
A Letter to Dad,2009,Johnny Remo,John Ashton,Dana Barron,Drama,5.9,USA,27-Jul-09
Hopelessly in June,2011,None,Vincent Brantley,Carolyn Neff,Comedy,5.1,USA,6-Jun-11
Freedom from Despair,2004,Brenda Brkusic,Petar Cvirn,John Dolan,Documentary,7.6,USA,14-May-04
House of Forbidden Secrets,2013,Todd Sheets,Lew Temple,Dyanne Thorne,Drama,5.5,USA,15-Oct-13
Little Cigars,1973,Chris Christenberry,Angel Tompkins,Billy Curtis,Comedy,5.4,USA,Jun-73
Mule Feathers,1977,Donald R. von Mizener,Rory Calhoun,Don Knotts,Comedy,4.5,USA,NA
The Boy Who Cried Werewolf,1973,Nathan Juran,Kerwin Mathews,Elaine Devry,Horror,5.1,USA,23-Nov-73
Hollywood Whores,2011,Adam Schlachter,Henrik Larsson,Carla Tassara,Comedy,8.6,USA,20-Aug-11
The Man from Orlando,2012,Craig Elrod,Jason Newman,Lee Eddy,Comedy,6.2,USA,7-Sep-12
The Animals,1970,Ron Joy,Joe Turkel,Pepper Martin,Western,3.3,USA,Oct-71
Alien Hunger,2014,Edward Conna,Krystal Banks,Ted Barba,Comedy,4.1,USA,NA
"Hollywood, It's a Dog's Life",2004,Byron Quisenberry,Mike Moroff,Anne Lockhart,Comedy,4.9,USA,2004
Working Girl,1988,Mike Nichols,Melanie Griffith,Harrison Ford,Comedy,6.7,USA,21-Dec-88
The Sixth Year,2013,Alex Ross Perry,Kentucker Audley,Anna Bak-Kvapil,Comedy,4.6,USA,11-Dec-13
Senta,1972,Alan Sinclair,Wendy Winders,Maria Arnold,Adult,4.7,USA,NA
Ella Enchanted,2004,Tommy O'Haver,Anne Hathaway,Hugh Dancy,Comedy,6.3,USA,9-Apr-04
Arachnophobia,1990,Frank Marshall,Jeff Daniels,Julian Sands,Comedy,6.4,USA,18-Jul-90
Deep in the Heart,2012,Christopher Cain,Jon Gries,Elaine Hendrix,Drama,5.8,USA,17-Feb-12
Mad Women,2015,Jeff Lipsky,Sara K. Edwards,Frances Eve,Drama,5.3,USA,10-Jul-15
Winter Kills,1979,William Richert,Jeff Bridges,John Huston,Comedy,6.3,USA,11-May-79
Pussycat Galore,1984,Henri Pachard,Brooke Fields,Honey Wilder,Adult,6.6,USA,1984
Washington Square,1997,Agnieszka Holland,Jennifer Jason Leigh,Albert Finney,Drama,6.7,USA,10-Oct-97
Last Man Club,2016,Bo Brinkman,James MacKrell,Kate French,Drama,6,USA,27-May-16
Nine Seconds,2017,None,Gavin Casalegno,Shaun Peter Cunningham,Drama,9.3,USA,15-Apr-17
Spirit of the Wind,1979,Ralph Liddle,Pius Savage,George Clutesi,Adventure,5.4,USA,14-Dec-79
On Tiptoe: Gentle Steps to Freedom,2000,Eric Simonson,Joseph Shabalala,Paul Simon,Documentary,7.2,USA,NA
Private Fantasies VI,1985,Jack Remy,Kevin James,Andre Bolla,Adult,7.5,USA,4-Nov-85
Survival Game,1987,Herb Freed,Mike Norris,Deborah Goodrich,Action,3.9,USA,23-Oct-87
Exfil,2017,Nicolai Fuglsig,Matilda Del Toro,Anton Rivas,Sci-Fi,6.1,USA,10-Jan-17
Antihero,2011,Joseph Weindl,Brian Gartland,Joseph Carlson,Adventure,6.6,USA,11-Aug-11
Domination Blue,1976,Joe Davian,John Bush,April Showers,Adult,5.8,USA,12-Jun-76
Arnold the Killer Clown,2015,Larry Rosen,Brian K. Millard,Rachel Arac,Horror,8.1,USA,NA
Sleight,2016,J.D. Dillard,Jacob Latimore,Seychelle Gabriel,Action,5.9,USA,28-Apr-17
3 A.M.,2001,Lee Davis,Danny Glover,Sergej Trifunovic,Crime,5.9,USA,1-Jul-01
China and Silk,1984,Steve Scott,Susan Hart,Cara Lott,Adult,6.2,USA,21-Aug-84
Imagine That,2009,Karey Kirkpatrick,Eddie Murphy,Thomas Haden Church,Comedy,5.6,USA,12-Jun-09
The Scarf,2009,None,Penny Desanto,Laura Geluch,Adventure,5.6,USA,Oct-09
Rooster Teeth: Best of RT Shorts and Animated Adventures,2013,Marshall Rimmer,Samantha Ireland,Burnie Burns,Comedy,8.6,USA,16-Jul-13
The Shadows,2007,Guillermo R. RodrÃ­guez,Emett Allen,Trace Barnes,Mystery,5.5,USA,15-Jul-07
Truth,2017,Paul Collett,Heather Fields,Alan Collett,Drama,7.4,USA,28-Nov-17
Boys Life 2,1997,Nickolas Perry,Michael Saucedo,Justin Urich,Drama,6.7,USA,7-Mar-97
Gone with the Pope,2010,None,Duke Mitchell,Lorenzo Dardado,Crime,6.3,USA,12-Mar-10
A Cinderella Story,2004,Mark Rosman,Hilary Duff,Chad Michael Murray,Comedy,5.9,USA,16-Jul-04
Little Red Riding Hood,2015,Rene Perez,Iren Levy,Nicole Stark,Fantasy,1.6,USA,Feb-15
Correct Change,2002,Mike Lilly,Russ McCubbin,Michael Meredith,Crime,9.2,USA,27-Apr-02
Buttwhistle,2014,Tenney Fairchild,Trevor Morgan,Elizabeth Rice,Comedy,4.3,USA,25-Apr-14
The Basketball Diaries,1995,Scott Kalvert,Leonardo DiCaprio,Lorraine Bracco,Biography,7.3,USA,21-Apr-95
2069 A.D.,1969,Sam Kopetzky,Harry Kay,Charlotte White,Comedy,5.6,USA,27-Oct-69
Alpha Girls,2013,Johnny Zito,Kacie Marie,Christine Fisler,Action,3.4,USA,1-Sep-13
It Happened in Hollywood,1973,Peter Locke,Melissa Hall,Harry Reems,Adult,6.9,USA,26-Aug-74
High Road,1996,Tommy Pallotta,David Dart,Loren Guerra,Comedy,7.3,USA,NA
Billy Club,2013,None,Marshall Caswell,Erin Hammond,Comedy,5.6,USA,1-Oct-13
